customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5575-GNVDE,1,0,0,0,34,1,0,1,1,0,1,0,0,0,1,0,0,56.95,1889.5,0
3668-QPYBK,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,1,0,53.85,108.15,1
6388-TABGU,1,0,0,1,62,1,0,1,1,1,0,0,0,0,1,0,1,56.15,3487.95,0
9763-GRSKD,1,0,1,1,13,1,0,1,1,0,0,0,0,0,0,1,0,49.95,587.45,0
4190-MFLUW,0,0,1,1,10,1,0,1,0,0,1,1,0,0,0,0,1,55.2,528.35,1
3638-WEABW,0,0,1,0,58,1,1,1,0,1,0,1,0,0,2,1,1,59.9,3505.1,0
6322-HRPFA,1,0,1,1,49,1,0,1,1,1,0,1,0,0,0,0,1,59.6,2970.3,0
6865-JZNKO,0,0,0,0,30,1,0,1,1,1,0,0,0,0,0,1,1,55.3,1530.6,0
5248-YGIJN,1,0,1,0,72,1,1,1,1,1,1,1,1,1,2,1,1,90.25,6369.45,0
8773-HHUOZ,0,0,0,1,17,1,0,1,0,0,0,0,1,1,0,1,0,64.7,1093.1,1
6827-IEAUQ,0,0,1,1,27,1,0,1,1,1,1,1,0,0,1,0,0,66.15,1874.45,0
3413-BMNZE,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,45.25,45.25,0
8865-TNMNX,1,0,1,1,10,1,0,1,0,1,0,0,0,0,1,0,0,49.55,475.7,0
9489-DEDVP,0,0,1,1,70,1,1,1,1,1,0,0,1,0,2,1,1,69.2,4872.35,0
4671-VJLCL,0,0,0,0,63,1,1,1,1,1,1,1,1,0,2,1,1,79.85,4861.45,0
4080-IIARD,0,0,1,0,13,1,1,1,1,1,0,1,1,0,0,1,0,76.2,981.45,0
5948-UJZLF,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,49.25,97,0
7639-LIAYI,1,0,0,0,52,1,1,1,1,0,0,1,1,1,2,1,1,79.75,4217.8,0
2954-PIBKO,0,0,1,1,69,1,1,1,1,0,1,1,0,0,2,1,1,64.15,4254.1,0
6575-SUVOI,0,1,1,0,25,1,1,1,1,0,0,1,1,0,0,1,1,69.5,1752.65,0
4667-QONEA,0,1,1,1,60,1,0,1,1,1,1,1,0,1,1,1,1,74.85,4456.35,0
0557-ASKVU,0,0,1,1,18,1,0,1,0,0,1,1,0,0,1,1,1,54.4,957.1,0
5122-CYFXA,0,0,0,0,3,1,0,1,0,1,0,1,1,1,0,1,0,75.3,244.1,0
3410-YOQBQ,0,0,0,0,31,1,0,1,0,1,1,1,1,1,2,0,0,79.2,2497.2,0
2273-QCKXA,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,49.05,49.05,0
5630-AHZIL,0,0,0,1,3,1,0,1,1,0,0,1,0,1,0,1,1,64.5,177.4,0
6416-JNVRK,0,0,0,0,46,1,0,1,0,0,0,0,0,1,1,0,1,55.65,2688.85,0
5590-ZSKRV,0,0,1,1,8,1,0,1,1,1,0,0,0,0,0,0,0,54.65,482.25,0
0191-ZHSKZ,1,1,0,0,30,1,0,1,1,1,0,0,1,1,0,1,0,74.75,2111.3,0
4808-YNLEU,0,0,1,0,35,1,0,1,1,0,0,0,1,0,1,1,1,62.15,2215.45,0
7233-PAHHL,1,0,1,1,66,1,1,1,1,0,1,1,1,1,2,1,0,84.0,5714.25,0
9803-FTJCG,1,0,1,1,71,1,1,1,1,1,0,1,0,0,1,1,1,66.85,4748.7,0
4549-ZDQYY,0,0,0,0,52,1,0,1,1,0,1,1,0,0,1,0,1,57.95,3042.25,0
6497-TILVL,0,0,1,1,7,1,0,1,1,0,0,0,0,0,0,0,0,50.7,350.35,0
8587-XYZSF,1,0,0,0,67,1,0,1,0,0,0,1,0,0,2,0,1,50.55,3260.1,0
2372-HWUHI,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,44.35,81.25,1
3146-MSEGF,0,1,1,1,72,1,1,1,1,1,1,1,1,1,2,1,1,88.05,6425.65,0
4080-OGPJL,0,0,0,0,8,1,1,1,1,0,0,1,0,1,0,0,0,71.15,563.65,1
2135-RXIHG,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,45.65,45.65,1
6440-DKQGE,1,0,0,1,30,1,0,1,0,1,1,0,1,0,1,0,1,64.5,1929.95,0
3466-BYAVD,1,0,1,1,15,1,0,1,0,1,1,1,0,1,0,1,0,69.5,1071.4,0
3780-YVMFA,0,0,1,1,8,1,0,1,0,0,0,1,1,1,0,1,0,68.55,564.35,0
9073-ZZIAY,1,0,1,1,62,1,0,1,1,1,1,1,1,1,2,0,0,86.1,5215.25,0
6371-NZYEG,1,0,1,1,16,1,0,1,1,0,1,0,1,0,2,0,0,64.25,1024,0
8992-VONJD,0,0,0,1,13,1,0,1,1,1,0,0,0,0,0,1,0,56.0,764.55,0
4648-YPBTM,1,0,0,0,53,1,1,1,0,1,1,1,0,1,2,1,1,73.9,3958.25,0
5997-OPVFA,1,0,1,0,72,1,1,1,1,1,1,1,1,1,2,1,1,89.05,6254.45,0
6727-IOTLZ,1,0,1,0,14,1,0,1,0,1,1,1,1,1,2,0,0,81.95,1181.75,0
6582-OIVSP,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,45.3,45.3,0
5524-KHNJP,1,0,1,1,33,1,0,1,1,0,1,0,1,1,1,0,1,74.75,2453.3,0
4827-USJHP,1,0,0,0,20,1,0,1,0,1,0,0,0,0,0,1,0,51.8,1023.85,0
8017-UVSZU,0,0,1,0,40,1,1,1,0,1,0,0,0,0,0,0,1,56.6,2379.1,0
7100-FQPRV,1,0,1,1,43,1,1,1,1,0,0,1,0,1,1,1,1,71.9,3173.35,0
7841-TZDMQ,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,1,46.0,84.5,1
2040-LDIWQ,1,0,1,1,65,1,1,1,0,1,1,1,1,1,2,1,1,84.2,5324.5,0
0742-MOABM,1,0,1,0,4,1,0,1,0,0,0,1,0,0,0,0,0,50.05,179.35,1
6341-JVQGF,0,0,1,1,31,1,0,1,1,0,1,1,1,1,1,1,0,81.15,2545.75,0
2232-DMLXU,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,55.2,55.2,1
0945-TSONX,0,0,1,1,47,1,1,1,1,1,0,1,1,1,2,1,1,85.3,4107.25,0
1251-KRREG,1,0,0,0,2,1,1,1,0,1,0,0,0,0,0,1,0,54.4,114.1,1
7301-ABVAD,0,0,0,0,72,1,1,1,0,1,1,1,1,1,2,0,1,86.6,6350.5,0
7576-ASEJU,0,0,1,1,41,1,0,1,1,0,0,1,1,1,1,1,1,74.7,3187.65,0
4522-AKYLR,0,1,0,0,13,1,0,1,0,1,1,0,0,0,0,1,0,54.8,731.3,0
0303-UNCIP,1,0,0,0,41,1,1,1,0,0,1,0,0,1,1,0,0,65.0,2531.8,0
0322-YINQP,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,48.55,48.55,1
3282-ZISZV,1,0,0,1,32,1,1,1,0,1,1,1,1,1,1,0,1,83.7,2633.3,0
4959-JOSRX,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,1,1,44.6,80.55,1
0123-CRBRT,0,0,1,1,61,1,1,1,1,1,1,1,1,1,2,0,0,88.1,5526.75,0
7633-MVPUY,1,0,1,0,57,1,0,1,1,1,0,1,0,0,2,1,0,59.75,3450.15,0
3179-GBRWV,1,1,1,0,21,1,0,1,1,1,0,0,0,1,0,1,1,64.95,1339.8,0
4130-MZLCC,0,0,0,0,5,1,0,1,0,1,0,0,0,0,0,0,1,50.55,244.75,0
0314-TKOSI,0,0,0,0,6,1,0,1,1,1,0,0,0,0,0,0,0,55.15,322.9,0
8229-MYEJZ,0,0,0,0,10,1,0,1,0,1,0,0,0,0,0,0,0,51.2,498.25,0
9577-WJVCQ,0,0,0,0,68,1,1,1,1,0,0,0,0,0,0,0,0,54.45,3687.75,0
3808-HFKDE,0,0,0,0,20,1,0,1,0,0,0,0,0,0,0,1,0,44.35,927.15,0
3580-REOAC,1,0,0,0,10,1,0,1,0,0,0,0,0,0,0,1,1,44.85,435.4,1
3727-OWVYD,1,0,0,0,35,1,0,1,1,1,1,0,0,0,1,0,0,61.2,2021.2,0
2985-JUUBZ,1,0,1,1,40,1,1,1,0,0,1,0,1,1,0,1,0,74.55,3015.75,0
0895-LMRSF,1,0,0,0,23,1,0,1,0,0,0,0,1,1,1,1,1,64.9,1509.8,0
4115-BNPJY,1,0,1,1,29,1,0,1,0,0,1,1,1,1,2,0,0,75.55,2054.4,0
4091-TVOCN,1,0,0,1,48,1,1,1,1,0,1,0,1,1,1,1,1,78.75,3682.45,0
2321-OMBXY,0,0,1,1,38,1,0,1,1,1,0,1,1,1,1,0,1,80.3,3058.65,1
5020-ZSTTY,0,1,0,0,54,1,1,1,1,1,0,1,1,1,1,0,1,82.45,4350.1,1
8705-WZCYL,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,44.8,44.8,0
7102-JJVTX,0,0,1,1,9,1,0,1,1,0,0,0,0,0,1,0,0,48.6,422.3,0
4322-RCYMT,1,0,1,1,68,1,1,1,0,1,1,1,0,1,1,1,1,75.8,5293.95,1
2088-IEBAU,0,0,0,0,68,1,1,1,1,1,1,1,1,1,2,1,0,88.15,6148.45,0
6035-BXTTY,0,1,0,0,32,1,0,1,0,1,0,1,0,0,0,0,1,54.65,1830.1,0
6885-PKOAM,0,0,1,0,71,1,1,1,1,1,1,1,1,1,2,0,1,85.75,6223.8,0
7520-HQWJU,0,0,1,1,66,1,1,1,1,1,1,0,0,0,0,1,1,67.45,4508.65,0
0513-RBGPE,1,0,1,1,37,1,1,1,1,0,1,1,0,0,2,1,1,62.8,2278.75,0
5160-UXJED,1,0,0,1,17,1,0,1,0,0,0,0,0,0,1,0,0,44.6,681.4,0
3351-NGXYI,0,1,0,0,16,1,1,1,1,0,0,0,0,0,0,1,0,54.1,889,0
0104-PPXDV,1,0,1,0,58,1,0,1,0,0,1,0,0,0,1,0,1,50.3,2878.55,0
9069-LGEUL,1,0,1,0,23,1,0,1,1,0,0,0,0,1,0,1,1,59.95,1406,0
7156-MXBJE,0,0,0,0,43,1,1,1,0,1,1,1,1,1,1,0,1,85.1,3662.25,0
2863-IMQDR,0,0,0,0,61,1,1,1,1,1,1,1,1,1,2,0,0,89.65,5308.7,0
6905-NIQIN,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,50.65,50.65,1
5522-JBWMO,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,44.0,44,0
9774-NRNAU,1,1,1,0,27,1,1,1,0,1,1,1,1,1,0,1,1,84.8,2309.55,0
0224-RLWWD,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,44.3,89.3,0
2977-CEBSX,0,0,0,0,66,1,1,1,1,1,1,1,1,1,2,1,1,90.05,5965.95,0
3067-SVMTC,0,0,1,0,68,1,0,1,1,0,0,1,0,0,1,0,1,55.9,3848.8,0
2055-SIFSS,0,1,1,0,55,1,1,1,0,0,0,0,0,0,0,0,1,51.65,2838.55,0
6152-ONASV,0,0,1,0,68,1,1,1,1,0,0,1,0,0,1,0,1,58.25,3975.7,0
2181-UAESM,1,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,53.45,119.5,0
2957-LOLHO,1,0,0,0,12,1,0,1,0,0,0,0,0,0,0,1,1,45.4,518.9,1
3577-AMVUX,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,55.05,55.05,0
2937-FTHUR,0,0,0,1,18,1,1,1,1,0,0,0,0,1,0,0,0,64.8,1166.7,0
5760-WRAHC,0,1,0,0,22,1,0,1,1,0,1,1,0,1,0,1,0,69.75,1545.4,0
0942-KOWSM,0,0,1,1,30,1,0,1,0,1,1,1,1,1,2,0,1,80.8,2369.3,0
6614-VBEGU,0,0,1,0,24,1,0,1,0,1,0,0,1,1,0,1,1,69.45,1614.05,0
4640-UHDOS,0,0,1,1,13,1,0,1,0,0,0,0,0,1,0,0,0,55.95,734.35,1
